part,quantity,material,size_X_mm,size_Y_mm,size_Z_mm
01_chassis,1,PETG/PA12,188.0,180.6,50.5
02_dorsal_deck,1,PETG,166.0,102.0,47.0
03_battery_tray,1,PETG,122.0,47.0,15.5
04_controller_plate,1,PETG,108.0,75.0,3.0
05_organic_shell,1,PETG,176.49,112.72,90.48
06_coxa_bracket,6,PETG/PA12,86.0,38.6,66.0
07_coxa_bottom_plate,6,PETG/PA12,44.0,28.0,4.5
08_servo_clamp_cap,18,PETG/PA12,21.0,42.0,3.5
09_femur_bracket,6,PETG/PA12,81.0,49.0,44.0
10_femur_side_plate,6,PETG/PA12,72.0,4.5,37.0
11_tibia_fork,6,PETG/PA12,128.0,54.0,32.0
12_foot,6,TPU95A,20.0,19.0,19.0
13_horn_shim_2p5,36,PETG,20.0,20.0,2.5
14_controller_spacer,4,PETG,7.0,7.0,6.0
15_fit_gauge,1,PETG,46.0,28.0,4.5
16_optional_shim_0p5,0,PETG,20.0,20.0,0.5
17_optional_shim_1p0,0,PETG,20.0,20.0,1.0
